# Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ
1576971000 ; 11.6899 ; 3.28247 ; 0 ; 0
1577062000 ; 11.7033 ; 3.28117 ; 0 ; 0
1577155000 ; 35.3926 ; 3.28651 ; 0 ; 0
1577239000 ; 23.6831 ; 3.28362 ; 0 ; 0
1577342000 ; 11.6984 ; 3.28156 ; 0 ; 0
1577435000 ; 11.696 ; 3.28087 ; 0 ; 0
1577523000 ; 23.9534 ; 3.28499 ; 0 ; 0
1577612000 ; 35.5411 ; 3.28613 ; 0 ; 0
1577697000 ; 23.7074 ; 3.284 ; 0 ; 0
1577785000 ; 11.6838 ; 3.28316 ; 0 ; 0
1577874000 ; 11.7009 ; 3.28094 ; 0 ; 0
1577958000 ; 23.9448 ; 3.28339 ; 0 ; 0
1578052000 ; 35.5983 ; 3.28613 ; 0 ; 0
1578142000 ; 19.6095 ; 3.28331 ; 0 ; 0
1578242000 ; 11.696 ; 3.28125 ; 0 ; 0
1578332000 ; 23.9266 ; 3.28339 ; 0 ; 0
1578421000 ; 35.535 ; 3.28621 ; 0 ; 0
1578506000 ; 35.6276 ; 3.28659 ; 0 ; 0
1578598000 ; 11.6875 ; 3.28102 ; 0 ; 0
1578689000 ; 11.7045 ; 3.28148 ; 0 ; 0
1578778000 ; 11.6899 ; 3.28308 ; 0 ; 0
1578869000 ; 35.5411 ; 3.28613 ; 0 ; 0
1578959000 ; 35.6361 ; 3.28636 ; 0 ; 0
1579051000 ; 11.696 ; 3.28102 ; 0 ; 0
1579136000 ; 11.6887 ; 3.28117 ; 0 ; 0
1579220000 ; 11.6972 ; 3.28094 ; 0 ; 0
1579310000 ; 11.6984 ; 3.28102 ; 0 ; 0
1579400000 ; 11.6948 ; 3.28133 ; 0 ; 0
1579482000 ; 11.6911 ; 3.28079 ; 0 ; 0
1579570000 ; 11.6997 ; 3.28102 ; 0 ; 0
1579656000 ; 11.7057 ; 3.28094 ; 0 ; 0
1579745000 ; 11.7057 ; 3.28049 ; 0 ; 0
1579830000 ; 11.6997 ; 3.2811 ; 0 ; 0
1579920000 ; 11.7118 ; 3.28293 ; 0 ; 0
1580009000 ; 11.6911 ; 3.28094 ; 0 ; 0
1580102000 ; 11.6826 ; 3.28094 ; 0 ; 0
1580196000 ; 11.6887 ; 3.28102 ; 0 ; 0
1580284000 ; 11.6972 ; 3.2827 ; 0 ; 0
1580369000 ; 11.6887 ; 3.28102 ; 0 ; 0
1580472000 ; 11.707 ; 3.2811 ; 0 ; 0
1580558000 ; 11.7009 ; 3.28094 ; 0 ; 0
1580648000 ; 11.6899 ; 3.28072 ; 0 ; 0
